 recv [Player: Account: 2], [CMSG_PLAYER_LOGIN 0x003D (61)]
send [Player: Account: 2], [SMSG_POWER_UPDATE 0x0480 (1152)]
send [Player: Account: 2], [SMSG_POWER_UPDATE 0x0480 (1152)]
send [Player: Account: 2], [SMSG_SET_PROFICIENCY 0x0127 (295)]
send [Player: Account: 2], [SMSG_SET_PROFICIENCY 0x0127 (295)]
send [Player: Account: 2], [SMSG_SET_PROFICIENCY 0x0127 (295)]
send [Player: Account: 2], [SMSG_SET_PROFICIENCY 0x0127 (295)]
send [Player: Account: 2], [SMSG_SET_PROFICIENCY 0x0127 (295)]
send [Player: Account: 2], [SMSG_SET_PROFICIENCY 0x0127 (295)]
send [Player: Account: 2], [SMSG_SET_PROFICIENCY 0x0127 (295)]
send [Player: Account: 2], [SMSG_SET_PROFICIENCY 0x0127 (295)]
send [Player: Account: 2], [SMSG_SET_PROFICIENCY 0x0127 (295)]
send [Player: Account: 2], [SMSG_SET_PROFICIENCY 0x0127 (295)]
send [Player: Account: 2], [SMSG_SET_PROFICIENCY 0x0127 (295)]
send [Player: Account: 2], [SMSG_POWER_UPDATE 0x0480 (1152)]
send [Player: Account: 2], [MSG_SET_DUNGEON_DIFFICULTY 0x0329 (809)]
send [Player: Account: 2], [SMSG_LOGIN_VERIFY_WORLD 0x0236 (566)]
send [Player: Account: 2], [SMSG_ACCOUNT_DATA_TIMES 0x0209 (521)]
send [Player: Account: 2], [SMSG_FEATURE_SYSTEM_STATUS 0x03C9 (969)]
send [Player: Account: 2], [SMSG_MOTD 0x033D (829)]
send [Player: Account: 2], [SMSG_LEARNED_DANCE_MOVES 0x0455 (1109)]
send [Player: Account: 2], [SMSG_CONTACT_LIST 0x0067 (103)]
send [Player: Account: 2], [SMSG_BINDPOINTUPDATE 0x0155 (341)]
send [Player: Account: 2], [SMSG_TALENTS_INFO 0x04C0 (1216)]
send [Player: Account: 2], [SMSG_INSTANCE_DIFFICULTY 0x033B (827)]
send [Player: Account: 2], [SMSG_INITIAL_SPELLS 0x012A (298)]
send [Player: Account: 2], [SMSG_SEND_UNLEARN_SPELLS 0x041E (1054)]
send [Player: Account: 2], [SMSG_ACTION_BUTTONS 0x0129 (297)]
send [Player: Account: 2], [SMSG_INITIALIZE_FACTIONS 0x0122 (290)]
send [Player: Account: 2], [SMSG_ALL_ACHIEVEMENT_DATA 0x047D (1149)]
send [Player: Account: 2], [SMSG_EQUIPMENT_SET_LIST 0x04BC (1212)]
send [Player: Account: 2], [SMSG_LOGIN_SETTIMESPEED 0x0042 (66)]
send [Player: Account: 2], [SMSG_SET_FORCED_REACTIONS 0x02A5 (677)]
send [Player: Account: 2], [SMSG_COMPRESSED_UPDATE_OBJECT 0x01F6 (502)]
send [Player: Account: 2], [SMSG_COMPRESSED_UPDATE_OBJECT 0x01F6 (502)]
send [Player: Account: 2], [SMSG_COMPRESSED_UPDATE_OBJECT 0x01F6 (502)]
send [Player: Account: 2], [SMSG_TIME_SYNC_REQ 0x0390 (912)]
send [Player: Account: 2], [SMSG_SPELL_GO 0x0132 (306)]
send [Player: Account: 2], [SMSG_INIT_WORLD_STATES 0x02C2 (706)]
send [Player: Account: 2], [SMSG_UPDATE_WORLD_STATE 0x02C3 (707)]
send [Player: Account: 2], [SMSG_UPDATE_WORLD_STATE 0x02C3 (707)]
send [Player: Account: 2], [SMSG_UPDATE_WORLD_STATE 0x02C3 (707)]
send [Player: Account: 2], [SMSG_UPDATE_WORLD_STATE 0x02C3 (707)]
send [Player: Account: 2], [SMSG_UPDATE_WORLD_STATE 0x02C3 (707)]
send [Player: Account: 2], [SMSG_UPDATE_WORLD_STATE 0x02C3 (707)]
send [Player: Account: 2], [SMSG_UPDATE_WORLD_STATE 0x02C3 (707)]
send [Player: Account: 2], [SMSG_UPDATE_WORLD_STATE 0x02C3 (707)]
send [Player: Account: 2], [SMSG_UPDATE_WORLD_STATE 0x02C3 (707)]
send [Player: Account: 2], [SMSG_UPDATE_WORLD_STATE 0x02C3 (707)]
send [Player: Account: 2], [SMSG_UPDATE_WORLD_STATE 0x02C3 (707)]
send [Player: Account: 2], [SMSG_UPDATE_WORLD_STATE 0x02C3 (707)]
send [Player: Account: 2], [SMSG_WEATHER 0x02F4 (756)]
send [Player: Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Account: 2], [SMSG_QUESTGIVER_STATUS_MULTIPLE 0x0418 (1048)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE 0x0496 (1174)]
Update time diff: 15. Players online: 1.
recv [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [CMSG_PLAYED_TIME 0x01CC (460)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_PLAYED_TIME 0x01CD (461)]
recv [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [CMSG_NAME_QUERY 0x0050 (80)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_NAME_QUERY_RESPONSE 0x0051 (81)]
recv [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [CMSG_SET_ACTIVE_MOVER 0x026A (618)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_COMPRESSED_UPDATE_OBJECT 0x01F6 (502)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
send [Player: Art GUID Full: 0x0000000000000001 Type: Player Low: 1, Account: 2], [SMSG_AURA_UPDATE_ALL 0x0495 (1173)]
